first_index,all_indices,title_hi,title_en,youtube_url,tags
600,600,सरस्वती श्लोक,Saraswati Shlok,https://youtube.com/shorts/8HTkpFKRqbw?si=lKsOmUxq3-s1g_eR,"Knowledge, Mantra, Shloka"
601,601,चाणक्य नीति 2,Chanakya Niti 2,https://youtu.be/LhByftvSUow?si=Tnq0jdsaK_eHfMPv,"Knowledge, Shloka"
602,602,सुभाषित 2,Subhashit 2,https://youtu.be/HPHadXO2MGY?si=iKiM45I8JobFPtp2,"Knowledge, Shloka"
603,603,गीता श्लोक 2,Gita Shlok 2,https://youtube.com/shorts/8-qBFaUbKfs?si=KrUhmC4PxuR0yc_a,"Knowledge, Shloka, Wealth"
604,604,वैदिक मंत्र,Vedic Mantra,https://youtu.be/Z9JLAy20J2M?si=LYnXlNrvxAd7pEoO,"Knowledge, Shloka"
606,606,कुबेर मंत्र,Kuber Mantra,https://youtu.be/IKGvPex_NQM?si=1DrV4jmYl-n-B0rm,"Mantra, Shloka, Success, Wealth"
607,607,महालक्ष्मी मूल मंत्र,Mahalakshmi Mool Mantra,https://youtu.be/m8hvtU9Lzzk?si=1K9flqSsHLdbD1bx,"LakshmiJi, Mantra, Wealth"
608,608,लक्ष्मी मंत्र,Lakshmi Mantra,https://youtu.be/g_czAYo3MKQ?si=-LU0VBJs1MmgBg7t,"LakshmiJi, Mantra, Wealth"
609,609,ऋण मोचन मंत्र,Rina Mochan Mantra,https://youtu.be/hnxXdqarpKg?si=ipN2Ak8MAnjCvke0,"Mantra, Wealth"
610,610,कनकधारा बीज मंत्र,Kanakdhara Beej Mantra,https://youtu.be/ZKfNOYMKXI0?si=zYx2HfGOp3vV5N5M,"Mantra, Wealth"
611,611,विष्णु लक्ष्मी मंत्र,Vishnu Lakshmi Mantra,https://youtu.be/4-XRc7ofCkM?si=bWMvUOXKrHoN6k3S,"LoveAndRelationship, Mantra, Wealth"
