group_id,youtube_url,count,index,title_hi,title_en,tags
211,https://youtu.be/uY5YAvygOJs?si=8dBC9W82qOAvOxTd,2,453,चलो शिव शंकर के मंदिर में भक्तों,Chalo Shiv Shankar Ke Mandir Mein Bhakto,Bhajan|Shivji
212,https://youtu.be/udRgk50LOuA?si=OnWHt9_jUWmMlIHv,2,71,मयूरेस्वर स्तोत्र:,Mayureshwar Stotra:,Strotam|GaneshJi
212,https://youtu.be/udRgk50LOuA?si=OnWHt9_jUWmMlIHv,2,505,मयूरेस्वर स्तोत्र:,Mayureshwar Stotra:,GaneshJi|Strotam
213,https://youtu.be/vLP6gdiDbOU?si=jO6MgHWC3vJEyRrd,2,110,नारायण सुक्तम,Narayan Suktam,Strotam|VishnuJi
213,https://youtu.be/vLP6gdiDbOU?si=jO6MgHWC3vJEyRrd,2,544,नारायण सुक्तम,Narayan Suktam,Strotam|VishnuJi
214,https://youtu.be/vYFOV9nj-_w?si=r49ExtqDfppGq1cg,2,73,श्री गणेशपञ्चरत्नम्,Shri Ganeshpancharatnam,Ashtakam|GaneshJi
214,https://youtu.be/vYFOV9nj-_w?si=r49ExtqDfppGq1cg,2,507,श्री गणेशपञ्चरत्नम्,Shri Ganeshpancharatnam,Ashtakam|GaneshJi
215,https://youtu.be/vfzibQrVPoM?si=y7xPU6cE7-JtCkvc,2,646,उपनिषद शांति पाठ,Upanishad Shanti Path,Katha|DurjaJi
215,https://youtu.be/vfzibQrVPoM?si=y7xPU6cE7-JtCkvc,2,906,शांति-विजय,Shanti-Vijay,Aarti|DurjaJi
216,https://youtu.be/w19sRwFqbwY?si=gQYxs5wL-HxhsoAF,2,684,सरस्वती चालीसा,Saraswati Chalisa,Katha|DurjaJi
216,https://youtu.be/w19sRwFqbwY?si=gQYxs5wL-HxhsoAF,2,753,सरस्वती चालीसा,Saraswati Chalisa,Knowledge|Katha|Strength|Wealth|DurjaJi
217,https://youtu.be/w9vGn5lQMxU?si=y2-tmAbRLU_U2xLE,2,156,मइया लक्ष्मी देती धन धान है,Maiya Lakshmi Deti Dhan Dhan Hai,Bhajan|LakshmiJi
217,https://youtu.be/w9vGn5lQMxU?si=y2-tmAbRLU_U2xLE,2,590,मइया लक्ष्मी देती धन धान है,Maiya Lakshmi Deti Dhan Dhan Hai,Bhajan|LakshmiJi
218,https://youtu.be/x0n-mk-_OHg?si=qBZDhZeI421iS3TG,2,82,वक्रतुण्ड महाकाय श्लोक,Vakratunda Mahakaya Shloka,Shloka|GaneshJi
218,https://youtu.be/x0n-mk-_OHg?si=qBZDhZeI421iS3TG,2,516,वक्रतुण्ड महाकाय,Vakratunda Mahakaya,Shloka|GaneshJi
219,https://youtu.be/xvaY6-PgNyY?si=1wxv0hpaEyvvF4jN,2,45,मर्कटेश महोत्साह सर्वशोक विनाशन।,Markatesh Mahotsah Sarvashok Vinashan.,Shloka|HanumanJi
219,https://youtu.be/xvaY6-PgNyY?si=1wxv0hpaEyvvF4jN,2,481,मर्कटेश महोत्साह सर्वशोक विनाशन।,Markatesh Mahotsah Sarvashok Vinashan.,Shloka|HanumanJi|Wealth
220,https://youtu.be/yPiSJP34-QM?si=YnJXYPnTNuwpbv0L,2,113,विष्णु चालीसा,Vishnu Chalisa,Chalisa|VishnuJi
220,https://youtu.be/yPiSJP34-QM?si=YnJXYPnTNuwpbv0L,2,547,विष्णु चालीसा,Vishnu Chalisa,Chalisa|VishnuJi
221,https://youtu.be/yqzr0_-2XbQ?si=KaaBH4Ke-TxOb1ih,2,94,श्री गणेश जन्म कथा,Shri Ganesh Janm Katha,Katha|GaneshJi
221,https://youtu.be/yqzr0_-2XbQ?si=KaaBH4Ke-TxOb1ih,2,528,श्री गणेश जन्म कथा,Shri Ganesh Janm Katha,Katha|GaneshJi
222,https://youtu.be/ytV08faCJwg?si=eXY_cZGO-FsueNS1,2,3,शिव गायत्री मंत्र,Shiv Gayatri Mantra,Mantra|Shivji
