group_id,count,title_hi,title_en,tags_sorted,content_urls,indexes
65,2,भजमन राम चरण सुखदाई,Bhajman Ram Charan Sukhdayi,Bhajan|Ramji,https://youtu.be/bhJ8_EqziNY?si=FKZ8NHKTs6R1lRUW,221|664
66,2,राम नाम के हीरे मोती,Ram Naam Ke Heere Moti,Bhajan|Ramji,https://youtu.be/6BJR_j4FHz4?si=hRLU-bLSvuuKWHgs,222|665
67,2,मन में राम बसा ले,Man Mein Ram Basa Le,Bhajan|Ramji,https://youtu.be/eXSq8m8CqGc?si=3f43U1aXfPAM58Hi,223|666
68,2,श्री राम जन्म कथा:,Shri Ram Janm Katha:,Katha|Ramji,https://youtu.be/_9mbammZPdU?si=n-ByLRdXdeMlpmHp,224|667
69,2,श्री राम ने कैसे किया माँ अहल्या का उद्धार,Shri Ram Ne Kaise Kiya Maa Ahalya Ka Uddhar,Katha|Ramji,https://youtu.be/x795jwrP6sY?si=Yx3aq_swuDsuga3X,225|668
70,2,सीता स्वयंवर की अद्भुत कथा,Sita Swayamvar Ki Adbhut Katha,Katha|Ramji,https://youtu.be/f_dQkIQqdvs?si=VW1LPoO0Ogb4h0pc,226|669
71,2,श्रीराम वनवास की कथा,Shriram Vanvas Ki Katha,Katha|Ramji,https://youtu.be/vcV_UjRl_OM?si=FuwK91gx91kJVKGN,227|670
72,2,भरत राम मिलाप - कथा,Bharat Ram Milap - Katha,Katha|Ramji,https://youtu.be/DF8jiXHJlRA?si=LwvO4OoiAxaNRpDV,228|671
73,2,श्रीराम ने बाली को छुपकर क्यों मारा ?,Shriram Ne Bali Ko Chhupkar Kyon Mara?,Katha|Ramji,https://youtu.be/k7kdm72nBjU?si=NJnOHq8FVwLrioHv,229|672
74,2,विजयादशमी - राम रावण अंतिम युद्ध की सम्पूर्ण कथा |,Vijayadashami - Ram Ravan Antim Yudh Ki Sampurn Katha |,Katha|Ramji,https://youtu.be/MtbVsknZP-A?si=EpGnCXoRWCCtKUhi,230|673
75,2,बीज मंत्र,Beej Mantra,GaneshJi|Mantra,https://youtu.be/Naruxgq6oMU?si=xqSFGrw15ZFcqKY-,231|674
76,2,ॐ वक्रतुण्डाय हुम्,Om Vakratundaya Hum,GaneshJi|Mantra,https://youtu.be/cidhzMLBUPQ?si=fXMWhEu5ZeeOpj3l,232|675
77,2,ॐ हस्ति पिशाचि लिख स्वाहा,Om Hasti Pishachi Likha Swaha,GaneshJi|Mantra,https://youtu.be/U88tnB0H1xI?si=2-HbuGny0YDj6tfC,233|676
78,2,ॐ लम्बोदराय नमः,Om Lambodaray Namah,GaneshJi|Mantra,https://youtu.be/Kdz0DzHoh_c?si=c_D5ejrJH2mP4nDv,234|677
79,2,ॐ विकटाय नमः,Om Vikataya Namah,GaneshJi|Mantra,https://youtu.be/BLVWder8V9I?si=ZzhUqV7dwH-dI-sP,235|678
80,2,ॐ विनायकाय नमः,Om Vinayakaya Namah,GaneshJi|Mantra,https://youtu.be/PeYGaeORoOY?si=Czecw7q3IkVzA55C,236|679
81,2,ॐ विघ्ननाशनाय नमः,Om Vighnanashanaya Namah,GaneshJi|Mantra,https://youtu.be/AibLZNQcHq4?si=LjeojdU2vyn6oW8m,237|680
82,2,गणेश गायत्री,Ganesh Gayatri,GaneshJi|Mantra,https://youtu.be/dkVlpm1mKFI?si=vJFkS8R3-PMxX_Ji,238|681
83,2,श्री संकटनाशन गणेश स्तोत्र,Shri Sankatnashan Ganesh Stotra,GaneshJi|Strotam,https://youtu.be/aTFeZxXkL78?si=HFj5YBPqHTqebgZi,239|682
84,2,गणेश अथर्वशीर्ष,Ganesh Atharvashirsha,GaneshJi|Strotam,https://youtu.be/Tssx17scqO4?si=WWEOC-sAGbJPwWoB,240|683
85,2,ऋणहर्ता गणेश स्तोत्र,Rinaharta Ganesh Stotra,GaneshJi|Strotam,https://youtu.be/aH2ipOQ1_bU?si=icocDYxf8Rhh_hJd,241|684
86,2,गणेश अष्टोत्तर शतनाम स्तोत्र,Ganesh Ashtottara Shatanam Stotra,GaneshJi|Strotam,https://youtu.be/XhxvcnExPNQ?si=nfh___BHqMxP2wv1,242|685
87,2,गणेश कवच,Ganesh Kavach,GaneshJi|Strotam,https://youtu.be/7AOJUIx9dLE?si=iiZJAYQrRCv1tpsQ,243|686
88,2,मयूरेस्वर स्तोत्र,Mayureshwar Stotra,GaneshJi|Strotam,https://youtu.be/udRgk50LOuA?si=aNXgNWFWUnR1bwfA,244|687
89,2,गणेश हृदय स्तोत्र,Ganesh Hridaya Stotra,GaneshJi|Strotam,https://youtu.be/hA__sJZ_FOc?si=-goJ82D1uxHHIBdW,245|688
90,2,गणेश चालीसा,Ganesh Chalisa,Chalisa|GaneshJi,https://youtu.be/WyHFSjN0miU?si=C2PbbebEskn6KqLR,246|689
91,2,गणेश अष्टकम,Ganesh Ashtakam,Ashtakam|GaneshJi,https://youtu.be/BhrCfQ0xyp8?si=Y8ihF6eLhRKE0QZ1,247|690
92,2,श्री गणेश पञ्चरत्न,Shri Ganesh Pancharatna,GaneshJi|Stuti,https://youtu.be/IMtvmQr5o5I?si=l3Ya9JbkB2GCi9RB,248|691
93,2,प्रथम तुला वंदितो,Pratham Tula Vandito,GaneshJi|Stuti,https://youtu.be/l_pV6jQdQ9c?si=S4GL6AaK1Ph0w14l,249|692
94,2,गजाननं भूत गणादि सेवितं,Gajananm Bhut Ganadi Sevitam,GaneshJi|Stuti,https://youtu.be/ayj0Gm6RTg8?si=JCPQw6jvbztxQbwn,250|693
95,2,श्री गणेश स्तुति,Shri Ganesh Stuti,GaneshJi|Stuti,https://youtu.be/2GQ7t3b3PIM?si=bTYiyyrcuLZYyzxb,251|694
96,2,गणेश वंदना,Ganesh Vandana,GaneshJi|Stuti,https://youtu.be/kE_3b_NaOAE?si=sHrTYnvs_Ht1N8E1,252|695
97,2,श्री गणेश जी की आरती,Shri Ganesh Ji Ki Aarti,Aarti|GaneshJi,https://youtu.be/Yuex2EnsGiY?si=0_Pq00ZXiWo3JeVx,253|696
98,2,सुखकर्ता दुखहर्ता,Sukh Karta Dukhaharta,Aarti|GaneshJi,https://youtu.be/EnbppB9t2Lg?si=53RDlB0vlkr02pCQ,254|697
99,2,ॐ शेंदुर लाल चढ़ायो अच्छा गजमुख को,Om Shendur Lal Chadhayo Achchha Gajmukh Ko,Aarti|GaneshJi,https://youtu.be/x4xwzv7zKms?si=N__XDkVXQXgqL8HK,255|698
100,2,वक्रतुण्ड महाकाय,Vakratunda Mahakaya,GaneshJi|Shloka,https://youtu.be/sgniT3zYZGE?si=BSxImt8-d3zA9-jK,256|699
101,2,गजाननं भूतगणादि,Gajananm Bhuta Ganadi,GaneshJi|Shloka,https://youtu.be/_7gdZWrPQX8?si=FCARIs6d0jt8PzT0,257|700
102,2,अगजानन पद्मार्कं,Agajanan Padmarkam,GaneshJi|Shloka,https://youtu.be/N1tQ2zK4aYk?si=DZOejLlpJrA5r6aD,258|701
103,2,सुमुखश्चैकदन्तश्च,Sumukhashchaikadantashcha,GaneshJi|Shloka,https://youtu.be/KI03fvJNUTk?si=D9xeAlbhH0zw2l0M,259|702
104,2,ॐ श्रीं गं सौभाग्य गणपतये वर्वर्द सर्वजन्म में वषमान्य स्वाहा,Om Shreem Gam Saubhagya Ganapataye Varvarada Sarvajanma Me Vashamanya Swaha,GaneshJi|Shloka,https://youtu.be/nbfyD78Dke0?si=--jK-lqu9SvtXhzK,260|703
105,2,देवा श्री गणेशा,Deva Shri Ganesha,Bhajan|GaneshJi,https://youtu.be/RYqJ5w-GrfM?si=7iTLrOhIb63mpAAA,261|704
106,2,मौर्या रे बाप्पा मौर्या रे,Maurya Re Bappa Maurya Re,Bhajan|GaneshJi,https://youtu.be/8jff2wz3Hpk?si=QNsZeRhwDjGRQ5Hs,262|705
107,2,गजानना श्री गणराया,Gajanana Shri Ganaraya,Bhajan|GaneshJi,https://youtu.be/fV8WIzEHD-E?si=QoCkMznHOJj-qUjD,263|706
108,2,सुनो गणपति बाप्पा मौर्या,Suno Ganpati Bappa Maurya,Bhajan|GaneshJi,https://youtu.be/WFBpMrcaxXA?si=XJBNsWCipgSiL04x,264|707
109,2,गणपति अपने गाँव चले,Ganpati Apne Gaon Chale,Bhajan|GaneshJi,https://youtu.be/wiIJr3qihaQ?si=-f9FdXR6zpC7iHDa,265|708
110,2,"मेरे मन मंदिर में तुम भगवान रहे,",Mere Man Mandir Mein Tum Bhagwan Rahe,Bhajan|GaneshJi,https://youtu.be/GiUkwTxsaYA?si=tAnNkeZ1LrxBim0v,266|709
111,2,श्री गणेश जन्म कथा,Shri Ganesh Janm Katha,GaneshJi|Katha,https://youtu.be/QiWkw-7QdfA?si=bJLHJe2-Y4ZfMgmJ,267|710
112,2,पृथ्वी परिक्रमा कथा,Prithvi Parikrama Katha,GaneshJi|Katha,https://youtu.be/msKSippIeOE?si=RB6UilhxgjzXDxD7,268|711
113,2,संकष्टी चतुर्थी व्रत कथा,Sankashti Chaturthi Vrat Katha,GaneshJi|Katha,https://youtu.be/9Y6wrYQ9l9M?si=ob2XoW3B-NceWETE,269|712
114,2,गणेश जी ने कुबेर का घमंड कैसे तोडा,Ganesh Ji Ne Kuber Ka Ghamand Kaise Toda,GaneshJi|Katha,https://youtu.be/V6bdNotAvpo?si=9hIdxzdEVzGvDDFg,270|713
115,2,कौनसा श्राप मिला चंद्रदेव को श्री गणेशजी द्वारा ?,Kaunsa Shrap Mila Chandradev Ko Shri Ganesh Ji Dwara?,GaneshJi|Katha,https://youtu.be/-2zGr9Q91DI?si=gMHKwO6c9ve5z6m4,271|714
116,2,महाभारत का लेखन किसने किया था,Mahabharat Ka Lekhan Kisne Kiya Tha,GaneshJi|Katha,https://youtu.be/MSx6PEo6egQ?si=M3Ja4Dll3sYeFwXf,272|715
117,2,रिद्धि-सिद्धि विवाह कथा,Riddhi-Siddhi Vivah Katha,GaneshJi|Katha,https://youtu.be/JIazMEU8_mA?si=RL-ZsSegD_ZJq3ni,273|716
118,2,श्री गणेश के एकदंत अवतार की कहानी ।,Shri Ganesh Ke Ekdant Avatar Ki Kahani.,GaneshJi|Katha,https://youtu.be/YdLl-NUNFfU?si=t6rZyAy36jBLB7J9,274|717
119,2,हुआ इतना भयंकर युद्ध के परशुराम जी गणेशजी का दांत तोड़ दिया,Hua Itna Bhayankar Yudh Ke Parshuram Ji Ganesh Ji Ka Daant Tod Diya,GaneshJi|Katha,https://youtu.be/wm-3ncCBg04?si=5Aihv_vmNlN4pzYT,275|718
120,2,बीज मंत्र,Beej Mantra,KrishnaJi|Mantra,https://youtu.be/tnwdmXa8Kcg?si=H4M-lZvX4nwDP-bn,276|719
121,2,मुक्ति मंत्र,Mukti Mantra,KrishnaJi|Mantra,https://youtu.be/felGgBmnx-I?si=YoB5C1tli8tX3Kpx,277|720
122,2,महामंत्र,Mahamantra,KrishnaJi|Mantra,https://youtu.be/Zdcth9NndEA?si=cBoFKjOpIFF2NbjP,278|721
123,2,श्री कृष्णाय शरणं मम,Shri Krishnaya Sharanam Mama,KrishnaJi|Mantra,https://youtu.be/1y2tRqtND1Y?si=Oc1VslQStdIS9Z13,279|722
124,2,ॐ क्लीं कृष्णाय नमः,Om Kleem Krishnaya Namah,KrishnaJi|Mantra,https://youtu.be/WqiKUywr55o?si=sx_88WGHIxnkZoNM,280|723
125,2,कृष्ण गायत्री,Krishna Gayatri,KrishnaJi|Mantra,https://youtu.be/yzwVyns93nc?si=UqzAJ3pjM1DUhsI7,281|724
126,2,गोकुल नाथाय नमः,Gokul Nathaya Namah,KrishnaJi|Mantra,https://youtu.be/qDt6N68WHy8?si=97ZxYRIXVb01K6_h,282|725
127,2,गोवल्लभाय स्वाहा,Govallabhaya Swaha,KrishnaJi|Mantra,https://youtu.be/6w3wN89oLfo?si=heaJxtbjFicJCK7E,283|726
128,2,ॐ क्लीं ग्लौं क्लीं श्यामलांगाय नमः,Om Kleem Glaum Kleem Shyamalangaya Namah,KrishnaJi|Mantra,https://youtu.be/b5T-oidQLAM?si=JDp71GyzjmCfIrCP,284|727
129,2,गोपाल सहस्रनाम स्तोत्र,Gopal Sahasranama Stotra,KrishnaJi|Strotam,https://youtu.be/sjWftsKY17c?si=mLCx34MI5E8Wd-Yo,285|728
130,2,मुकुंद माला स्तोत्र,Mukunda Mala Stotra,KrishnaJi|Strotam,https://youtu.be/ZTs6tcgm0lE?si=zJdwNIS-eYe8GMet,286|729
131,2,श्री कृष्ण अष्टोत्तर शतनाम स्तोत्र (108 नाम),Shri Krishna Ashtottara Shatanam Stotra (108 Naam),KrishnaJi|Strotam,https://youtu.be/K3oE-h8Lgxk?si=H2NeiSvZDFyeitvU,287|730
132,2,ब्रह्म संहिता,Brahma Samhita,KrishnaJi|Strotam,https://youtu.be/0pSbpQcCBNc?si=uR5GGoDtiu4sh4nB,288|731
