youtube_video_id,unique_exact_url_count,unique_exact_urls_sample,line_numbers_sample
UkT5eHWOIjQ,2,https://youtu.be/UkT5eHWOIjQ?si=mbNXv4_wRxfFKtJ6|https://youtu.be/UkT5eHWOIjQ?si=wBoYN_nxertpZqQW,944|1006
WyHFSjN0miU,2,https://youtu.be/WyHFSjN0miU?si=C2PbbebEskn6KqLR|https://youtu.be/WyHFSjN0miU?si=pCUb4V5RltoNG-DB,176|471|856|953|1222|1460
XhxvcnExPNQ,2,https://youtu.be/XhxvcnExPNQ?si=nfh___BHqMxP2wv1|https://youtu.be/XhxvcnExPNQ?si=w62P2ANg6x0OryeL,172|464
Yuex2EnsGiY,2,https://youtu.be/Yuex2EnsGiY?si=0_Pq00ZXiWo3JeVx|https://youtu.be/Yuex2EnsGiY?si=SN2TjtMVVhHmp7gl,188|486|1274|1284|1317
ZkKStVgGEJY,2,https://youtu.be/ZkKStVgGEJY?si=3ByfjplaH0mUbK5v|https://youtu.be/ZkKStVgGEJY?si=LGnO8DtUL_iEf1ei,431|1378|1509
aH2ipOQ1_bU,2,https://youtu.be/aH2ipOQ1_bU?si=O2s_vctg1Roye0xu|https://youtu.be/aH2ipOQ1_bU?si=icocDYxf8Rhh_hJd,168|463
av9FFShVYBU,2,https://youtu.be/av9FFShVYBU?si=Ad06fEsAnohtH32q|https://youtu.be/av9FFShVYBU?si=cCKzcZmfK8byA0X8,170|1464
bcs4geISuy0,2,https://youtu.be/bcs4geISuy0?si=-BYP11FJGKAQ7fk3|https://youtu.be/bcs4geISuy0?si=iIlUMsgUwP0VAQdf,286|744|924|1061|1182|1260|1261
bo62sjQ0CmE,2,https://youtu.be/bo62sjQ0CmE?si=0zcZrViLINirsSiD|https://youtu.be/bo62sjQ0CmE?si=t1lAn32pD2F23gVQ,190|1478
c0J1WntPaDg,2,https://youtu.be/c0J1WntPaDg?si=MKuPTGQBJ6wKVF5s|https://youtu.be/c0J1WntPaDg?si=PMqDiJZ9LjbiqiFk,961|1276
dVTUUtOHUCA,2,https://youtu.be/dVTUUtOHUCA?si=Kos_i0o8NA3VrmOj|https://youtu.be/dVTUUtOHUCA?si=Uk_2RDtvaypwtFhK,635|1362|1370
dkVlpm1mKFI,2,https://youtu.be/dkVlpm1mKFI?si=crdKp9jnOOfpOZx7|https://youtu.be/dkVlpm1mKFI?si=vJFkS8R3-PMxX_Ji,154|457|1259|1449
dnCE-kSHES0,2,https://youtu.be/dnCE-kSHES0?si=cYpIjXtwIhaE19YB|https://youtu.be/dnCE-kSHES0?si=yTCI8n72etTZr0XL,1033|1083|1231|1333
eH89BxWg9P4,2,https://youtu.be/eH89BxWg9P4?si=0zOcU8tr43L7aj2q|https://youtu.be/eH89BxWg9P4?si=5IOyC_otVc9JKSFd,136|1550
enalr0CvqVM,2,https://youtu.be/enalr0CvqVM?si=WMYDWThqcqx9a4pP|https://youtu.be/enalr0CvqVM?si=XToEKXUbPLlC3Dqe,204|1477
fV8WIzEHD-E,2,https://youtu.be/fV8WIzEHD-E?si=27m-AHd4U1hn9Aq-|https://youtu.be/fV8WIzEHD-E?si=QoCkMznHOJj-qUjD,501|1474
gFr5p5AyuD0,2,https://youtu.be/gFr5p5AyuD0?si=QD5VW5nRGb8TXEFJ|https://youtu.be/gFr5p5AyuD0?si=d8JQg36LZDxyWjr3,189|1471
g_czAYo3MKQ,2,https://youtu.be/g_czAYo3MKQ?si=-LU0VBJs1MmgBg7t|https://youtu.be/g_czAYo3MKQ?si=gMXItXZe4oVrD-co,287|927
gsHIPGDctJ0,2,https://youtu.be/gsHIPGDctJ0?si=0M-JKLTSQ47e8TaB|https://youtu.be/gsHIPGDctJ0?si=lAIFco1_0UhAKruS,242|763
gyLT2Yz_yHo,2,https://youtu.be/gyLT2Yz_yHo?si=6boX0E4ODR2nuxV9|https://youtu.be/gyLT2Yz_yHo?si=nhoDAX1GtLKoJJzs,536|1015
iRVIbOMymj0,2,https://youtu.be/iRVIbOMymj0?si=cFBjMhHR-DcFq9_Y|https://youtu.be/iRVIbOMymj0?si=p9yfDWWAsb63wtMq,697|731|792|1059
invPCYDaWUE,2,https://youtu.be/invPCYDaWUE?si=-cwsyKTg-INmshaY|https://youtu.be/invPCYDaWUE?si=0CRahD-R2NNXDnCu,395|830|1126|1194|1368|1501
j8l2aX86Ouk,2,https://youtu.be/j8l2aX86Ouk?si=1JGWEjb8YcyEDR9R|https://youtu.be/j8l2aX86Ouk?si=dHrlQKdAK2KKrQCo,1118|1170
jB4aaP2X7S4,2,https://youtu.be/jB4aaP2X7S4?si=fNw_s_3Ep9aH-uJZ|https://youtu.be/jB4aaP2X7S4?si=m9_aarWrjCpP8nDx,594|746|803|1352
m8hvtU9Lzzk,2,https://youtu.be/m8hvtU9Lzzk?si=1K9flqSsHLdbD1bx|https://youtu.be/m8hvtU9Lzzk?si=Y9IBp48e1VidVKd4,289|926
mmVbmowFswQ,2,https://youtu.be/mmVbmowFswQ?si=4Pq4-LiYvLPJNzNH|https://youtu.be/mmVbmowFswQ?si=pZE5fw0QkulqRM2W,583|1339
n4fZknyZlsk,2,https://youtu.be/n4fZknyZlsk?si=5tj8RlXP-RerHJhG|https://youtu.be/n4fZknyZlsk?si=W6avmHz2Bl7IEuMr,133|1152|1554
nLUmRxc6140,2,https://youtu.be/nLUmRxc6140?si=TlXcstkGhRj6Ed0G|https://youtu.be/nLUmRxc6140?si=tDzujtf2OLcvCbDf,202|1472
n_DeYZEy4Y4,2,https://youtu.be/n_DeYZEy4Y4?si=sUCnkqbCYX4M_5BL|https://youtu.be/n_DeYZEy4Y4?si=wdZ7kUQSQ35qIs_5,388|1493
