video_id,title_key,first_index,member_indices,old_tags_first,new_tags_first,map_tags,map_unique_titles_norm,status
nwRoHC83wx0,gayatri mantra,654,"654,740,862,900,925,971",Katha|DurjaJi,Katha|DurjaJi,Diwali|Happiness|Health|Knowledge|Mantra|Peace|Shloka|Success,गायत्री मंत्र|बुद्धि श्लोक,skipped_multi_title_map
iRVIbOMymj0,shanti mantra,655,"655,866",Katha|DurjaJi|BhojanSePehle,Katha|DurjaJi|BhojanSePehle,BhojanSePehle|Happiness|Mantra|Peace|Shloka,कठोपनिषद शांति|शांति मंत्र,skipped_multi_title_map
ntpeQR7K0PI,buddha mantra,661,"661,872",Katha|DurjaJi,Katha|DurjaJi,Happiness|Mantra|Peace,बुद्ध मंत्र,skipped_single_title_mismatch
-NqX8zOZ62w,saraswati mantra,663,"663,926,967",Katha|DurjaJi,Katha|DurjaJi,Diwali|Knowledge|Mantra|Peace|Success,नवग्रह सरस्वती|सरस्वती मंत्र,skipped_multi_title_map
1y2tRqtND1Y,krishna sharanam,674,"674,870",Katha|DurjaJi,Katha|DurjaJi,Happiness|Janmashtami|KrishnaJi|Mantra|Peace,कृष्ण शरणम|शरण मंत्र|श्री कृष्णाय शरणं मम,skipped_multi_title_map
sdZpM8paUnM,madhurashtakam,682,"682,831,995",Katha|DurjaJi,Katha|DurjaJi,Ashtakam|Janmashtami|LoveAndRelationship|Mantra|Peace|Strotam|Stuti,मधुराष्टकम|मधुराष्टकम (अधरं मधुरं),skipped_multi_title_map
leVoi6kkp3o,shri ram stuti,690,"690,873,934,982",Happiness|Katha|DurjaJi,Happiness|Katha|DurjaJi,Aarti|Bhajan|Diwali|Dussehra|Happiness|Health|Knowledge|Peace|RamNavami|Stuti|Success,भए प्रगट कृपाला|राम स्तुति|राम स्तुति (श्री रामचन्द्र..)|श्री राम स्तुति|श्री रामचंद्र कृपालु|श्री रामचंद्र कृपालु भजु मन|श्री रामचन्द्र कृपालु,skipped_multi_title_map
Im5TK-glA9M,narayan stuti,692,"692,847,876,909,940",Happiness|Katha|DurjaJi,Happiness|Katha|DurjaJi,Happiness|Health|LoveAndRelationship|Mantra|Peace|Stuti|Success|VishnuJi,नारायण स्तुति|शान्ताकारं भुजगशयनं पद्मनाभं सुरेशं,skipped_multi_title_map
HblVEP-ecEo,shiv manas stuti,693,"693,763",Katha|Strength|DurjaJi,Katha|Strength|DurjaJi,Knowledge|Peace|Stuti,शिव मानस स्तुति,skipped_single_title_mismatch
Njc1Hu6WPDU,saraswati stuti,694,"694,848,877,912,936",Katha|DurjaJi,Katha|DurjaJi,Happiness|Health|LoveAndRelationship|Peace|Stuti|Success,सरस्वती स्तुति,skipped_single_title_mismatch
5arZWUzAQ2U,kartikeya mantra,720,"720,930",Katha|Strength|DurjaJi,Katha|Strength|DurjaJi,Mantra|Strength|Success,कार्तिकेय मंत्र,skipped_single_title_mismatch
w19sRwFqbwY,saraswati chalisa,737,"737,806",Katha|DurjaJi,Katha|DurjaJi,Chalisa|Strength|Wealth,सरस्वती चालीसा,skipped_single_title_mismatch
aLKLcvJZ2Hc,lakshmi chalisa,738,"738,981",Katha|Wealth|DurjaJi,Katha|Wealth|DurjaJi,Chalisa|Diwali|LakshmiJi|Strength|Success,लक्ष्मी चालीसा|श्री लक्ष्मी चालीसा,skipped_multi_title_map
