youtube_url,youtube_video_id,tags,occurrence_count,line_numbers,titles
https://youtu.be/LG28JZIvNsc?si=aHLn3k0UYaxwBxWH,LG28JZIvNsc,Shloka|VishnuJi,1,259,नमोऽस्त्वनन्ताय
https://youtu.be/LJ2zEAAVQ3A?si=inoRE1raZrjW1xQH,LJ2zEAAVQ3A,Katha|Wealth,1,1042,नल-दमयंती कथा
https://youtu.be/LNrQLgfTGJA?si=Ny6Y5AKVVghnbuXG,LNrQLgfTGJA,Knowledge|Peace|Strotam,2,765|884,दक्षिणमूर्ति स्तोत्र | दक्षिणमूर्ति स्तोत्रम
https://youtu.be/LP86cJl-NGg?si=A2Y5o-h90odc3XN9,LP86cJl-NGg,Katha|Wealth,1,1528,सुरक्षा मंत्र
https://youtu.be/LUzsbfl93Q4?si=JYCRHHaA6P3eVuyU,LUzsbfl93Q4,DurjaJi|Katha,1,669,माता पार्वती का कठिन तप और शिव से विवाह
https://youtu.be/LhByftvSUow?si=Tnq0jdsaK_eHfMPv,LhByftvSUow,Knowledge|Shloka,1,914,चाणक्य नीति 2
https://youtu.be/Lhb-kwZNjhw?si=GpSsGq599D-WIcwS,Lhb-kwZNjhw,Knowledge|Mantra,1,869,गुरु मंत्र
https://youtu.be/LoGSKVXB2Ls?si=2Su-HweMiKrZ9_Fb,LoGSKVXB2Ls,Strotam|Wealth,1,1000,जानकी स्तोत्र
https://youtu.be/LuWevgdKr9Q?si=HhnO6BMkATAi6ph8,LuWevgdKr9Q,Shloka|Wealth,1,986,पत्नी प्राप्ति मंत्र
https://youtu.be/Ly_Md1OOyTE?si=nCT-_G7dkRiPuF7QQ,Ly_Md1OOyTE,Mantra|Shivji,1,9,शिव स्तुति मंत्र
https://youtu.be/Ly_Md1OOyTE?si=ni-k1rrLMF2suMfD,Ly_Md1OOyTE,Katha|Shloka|Wealth,2,989|1406,कार्य सिद्धि मंत्र | शिव शक्ति मंत्र
https://youtu.be/M0E506vc8r0?si=JsUayaaeFsxPeJfO,M0E506vc8r0,Bhajan|DurjaJi,1,657,प्यारा सजा है तेरा द्वार भवानी
https://youtu.be/MJ14wONWjWg?si=DEpgPZC7NuC6rPgX,MJ14wONWjWg,Chalisa|ShaniiDevJi|Strength,2,351|850,शनि चालीसा
https://youtu.be/MJwg2dRnBeQ?si=fQFON7tpoz66jfCP,MJwg2dRnBeQ,Shloka|Wealth,1,1116,रोग नाशक मंत्र
https://youtu.be/MJwg2dRnBeQ?si=tgA7oiR_v6rXAlZV,MJwg2dRnBeQ,Shloka|Wealth,1,1171,रोग निवारण
https://youtu.be/MMVH6vPr2mo?si=jIy2ahvcXaIKa1xJ,MMVH6vPr2mo,LakshmiJi|Stuti,1,312,महा लक्ष्मी स्तुति
https://youtu.be/MPCopbetzis?si=13kpUoLdLfBEG4Ba,MPCopbetzis,Katha|Wealth,1,1044,सत्यभामा-कृष्ण कथा
https://youtu.be/MSx6PEo6egQ?si=M3Ja4Dll3sYeFwXf,MSx6PEo6egQ,GaneshJi|Katha,1,512,महाभारत का लेखन किसने किया था
https://youtu.be/MoJw2s6q4P0?si=R2XibwgmtcN1lazL,MoJw2s6q4P0,Chalisa|Katha|Ramji|Strength|Wealth,3,403|851|1505,राम चालीसा | श्री राम चालीसा
https://youtu.be/MsuWbBoSwX8?si=IFfR6QCJJe2EqkWh,MsuWbBoSwX8,DurjaJi|Katha,1,666,नवदुर्गा के 9 रूपों की कथा:
https://youtu.be/MtbVsknZP-A?si=EpGnCXoRWCCtKUhi,MtbVsknZP-A,Katha|Ramji,1,444,विजयादशमी - राम रावण अंतिम युद्ध की सम्पूर्ण कथा |
https://youtu.be/MtbVsknZP-A?si=uMbJViu_PvND-iuY,MtbVsknZP-A,Katha|Wealth,1,1391,रावण वध
https://youtu.be/MuVrsDfgwI0?si=TpM7uKaIrn00Acbk,MuVrsDfgwI0,Mantra|VishnuJi,1,221,श्रीमन नारायण नारायण हरी हरी
https://youtu.be/MuVrsDfgwI0?si=ttg63rMJqtDATiJg,MuVrsDfgwI0,Bhajan|VishnuJi,1,267,श्रीमन नारायण नारायण हरी हरी
https://youtu.be/MwqOns-5qN0?si=t1dRusMdyzjIqXAz,MwqOns-5qN0,Stuti|Wealth,1,1153,नाम है तेरा तारणहारा
https://youtu.be/My9aRwekYGk?si=jbP4Jiv89W7Ij-D7,My9aRwekYGk,Katha|Shivji,1,72,12 ज्योतिर्लिंग की कथाएँ क्या है?
https://youtu.be/N1tQ2zK4aYk?si=DZOejLlpJrA5r6aD,N1tQ2zK4aYk,GaneshJi|Shloka,1,494,अगजानन पद्मार्कं गजानन अहर्निशम् ।अनेकदन्तं भक्तानां एकदन्त उपास्महे ॥
https://youtu.be/NE3SWh9_vR4?si=oJOVnsbkOB7Qxw5b,NE3SWh9_vR4,Aarti|Katha|Shloka|VishnuJi|Wealth,4,256|1275|1319|1363,ओम जय जगदीश हरे
https://youtu.be/NE3SWh9_vR4?si=z8FGFGAzZeFHBd2I,NE3SWh9_vR4,Stuti|Wealth,2,1146|1217,विष्णु स्तुति
https://youtu.be/NM9pHX6dqDc?si=yD0O5B6BDILeMxT8,NM9pHX6dqDc,Stuti|Wealth,1,1031,श्याम तेरी बंसी
https://youtu.be/NShJA3v8maI?si=iLTtoEvIsqk36avk,NShJA3v8maI,Chalisa|Strength,1,854,बगलामुखी चालीसा
https://youtu.be/NYakpChmUb0?si=JIAUkjQRaibfhJsE,NYakpChmUb0,Ramji|Strotam,1,394,श्री राम रक्षा स्तोत्र:
