youtube_video_id,tags,occurrence_count,unique_url_count,sample_url,line_numbers,titles
8YDJARGajec,Katha|LoveAndRelationship,1,1,https://youtu.be/8YDJARGajec?si=iem_4YeFPsUqCp1l,1038,राधा-कृष्ण प्रेम कथा
8hbV_LQKvv0,Shloka|Strotam|Success|Wealth,2,1,https://youtube.com/shorts/8hbV_LQKvv0?si=k4cFAIlX83ys0rDI,968|1198,धनं धान्यं पशुं बहुपुत्रलाभं शतसंवत्सरं दीर्घमायुः | श्री सूक्तम
8jff2wz3Hpk,Bhajan|GaneshChaturthi|GaneshJi,2,2,https://youtu.be/8jff2wz3Hpk?si=QNsZeRhwDjGRQ5Hs,500|1476,मौर्य रे बाप्पा मौर्य रे | मौर्या रे बाप्पा मौर्या रे
8l77GDrFq-k,Katha|ShaniiDevJi,1,1,https://youtu.be/8l77GDrFq-k?si=9Z4rz10EH1DVrmgH,378,शनिदेव और हनुमान जी की कथा |
8rXQPg2o2NI,Peace|Shloka,1,1,https://youtube.com/shorts/8rXQPg2o2NI?si=qxUb07QrdaPiXCPZ,795,संतुलन श्लोक
8sYK7lm3UKg,Mantra|Peace,1,1,https://youtu.be/8sYK7lm3UKg?si=KT8XY7gMP0pyZAwq,729,ओम चैंटिंग
8xvbnfVIJL4,MahaShivratri|Peace|Stuti,2,2,https://youtu.be/8xvbnfVIJL4?si=_w4OfD0T9j_4Ro1r,775|1411,शिव रुद्राष्टकम | शिव रुद्राष्टकम स्तुति
90Jg2ZI_RLo,HanumanJayanti|Strotam,1,1,https://youtu.be/90Jg2ZI_RLo?si=YIdpJ3jOCE_8ukk4,1541,श्री हनुमत् स्तवन
98tKisf10-I,DurjaJi|Stuti,1,1,https://youtu.be/98tKisf10-I?si=f1PmcHWoeyC0xT7A,628,देवी स्तुति:
9IqAtf_DTb8,RamNavami|Ramji|Strotam,2,1,https://youtu.be/9IqAtf_DTb8?si=7qKSbxov-_kWaUeO,398|1503,नाम रामायणम्
9Y6wrYQ9l9M,GaneshJi|Katha,1,1,https://youtu.be/9Y6wrYQ9l9M?si=ob2XoW3B-NceWETE,509,संकष्टी चतुर्थी व्रत कथा
9kCXXD5q_pU,LoveAndRelationship|Mantra,1,1,https://youtu.be/9kCXXD5q_pU?si=_RY68kIVPMHzXFvS,984,कामदेव गायत्री
9w9SVujBfxo,Bhajan|DurjaJi,1,1,https://youtu.be/9w9SVujBfxo?si=AtgSefqNs0QBxKeN,658,मैया तेरी जय जयकार
9wUtZFEmaLM,Mantra|Wealth,1,1,https://youtu.be/9wUtZFEmaLM?si=mnP_uX0SYbSi1G4F,932,व्यापार वृद्धि मंत्र
A01Ms9WILjA,SubahUthteHi,1,1,https://youtube.com/shorts/A01Ms9WILjA?si=KGdLKpQz4FqoFG9l,678,नवग्रह प्रभात मंत्र
A4WW9ezwazc,Aarti|DurjaJi,1,1,https://youtu.be/A4WW9ezwazc?si=8R3ZrJ_Yn27l_iQS,641,भोर भई दिन चढ़ गया मेरी अम्बे
